f1x1,f1x2,f2x1,f2x2,f3x1,f3x2,f3x3,f4x1,f4x2,f4x3,f4x4,f5x1,f5x2,f5x3,f5x4,f6x1,f6x2,f6x3,f6x4,f6x5,f7x1,f7x2,f7x3,f7x4,f7x5,f7x6,f8x1,f8x2,f8x3,f8x4,f8x5,f8x6,f8x7,f8x8
0.01147,0.018101,0.773827,0.957206,0.331628,0.37158,0.505089,0.458644,0.390237,0.458098,0.349218,0.231923,0.700501,0.976725,0.937361,0.139306,0.01086,0.668449,0.882587,0.068355,0.231012,0.512395,0.195624,0.00608,0.303966,0.850149,0.17043,0.210457,0.269662,0.074554,0.897715,0.52567,0.06521,0.863551
0.854144,0.968849,0.689917,0.950264,0.144432,0.605976,0.485107,0.128777,0.597546,0.921083,0.975404,0.316059,0.892737,0.858875,0.922973,0.729366,0.029366,0.686873,0.94064,0.059167,0.080257,0.468363,0.200173,0.224182,0.353864,0.651595,0.00675,0.265898,0.172647,0.061583,0.471179,0.379303,0.109962,0.428688
0.790921,0.977928,0.826277,0.997887,0.347388,0.184457,0.470832,0.024111,0.703658,0.982801,0.981647,0.33169,0.896274,0.98181,0.914861,0.164123,0.326928,0.062047,0.941257,0.067761,0.035722,0.265649,0.308937,0.121921,0.390783,0.67993,0.009357,0.333464,0.020263,0.040386,0.140657,0.273266,0.106196,0.454237
0.078526,0.148941,0.773525,0.943647,0.506734,0.160878,0.560637,0.493478,0.414878,0.346612,0.432821,0.473239,0.827815,0.962217,0.988361,0.531562,0.382952,0.454509,0.778627,0.163412,0.065421,0.430005,0.421365,0.065556,0.356714,0.896324,0.239485,0.401255,0.074346,0.175142,0.623644,0.508797,0.300965,0.564904
0.833521,0.968335,0.66749,0.911767,0.285986,0.648567,0.523759,0.447057,0.520736,0.472001,0.456644,0.524124,0.975105,0.970405,0.9556,0.373029,0.387363,0.584905,0.665786,0.055218,0.07658,0.374012,0.155689,0.157456,0.374144,0.547713,0.205872,0.129799,0.101868,0.483411,0.931078,0.413462,0.17564,0.169727
0.002603,0.99945,0.99634,0.951491,0.004616,0.797785,0.992165,0.080447,0.744163,0.951799,0.972785,0.704207,0.689055,0.345835,0.693802,0.13985,0.882715,0.062379,0.113004,0.896657,0.268011,0.650747,0.121121,0.969293,0.933102,0.955389,0.027086,0.197874,0.007899,0.170997,0.825904,0.470501,0.085001,0.760438
0.99988,0.038994,0.971909,0.757088,0.994354,0.828992,0.962958,0.366566,0.4433,0.375469,0.432203,0.876182,0.988994,0.96999,0.856065,0.391348,0.352647,0.673874,0.99,0.254107,0.099028,0.020747,0.102913,0.14365,0.025657,0.810317,0.233712,0.190317,0.166316,0.04346,0.693448,0.053428,0.285523,0.461424
0.286667,0.999441,0.010147,0.99726,0.949694,0.925825,0.024031,0.332478,0.342594,0.387167,0.45662,0.937455,0.970256,0.950976,0.874767,0.394869,0.266333,0.610037,0.725599,0.060271,0.024633,0.953358,0.162824,0.175835,0.115378,0.389731,0.034239,0.803888,0.068502,0.166281,0.134964,0.936768,0.142534,0.984223
0.983128,0.503881,0.871923,0.007843,0.687122,0.997814,0.422822,0.346653,0.378321,0.359688,0.449833,0.989767,0.878372,0.979546,0.941333,0.399547,0.224278,0.927172,0.784578,0.085042,0.128574,0.064197,0.16029,0.172854,0.388067,0.637723,0.062256,0.135639,0.100413,0.248716,0.877839,0.306014,0.098199,0.824205
0.083583,0.334043,0.691714,0.550977,0.129321,0.859008,0.312893,0.393108,0.448672,0.306663,0.383959,0.970141,0.820451,0.95863,0.920163,0.296224,0.008572,0.905201,0.147431,0.008831,0.309174,0.208731,0.815186,0.155428,0.375024,0.655978,0.106539,0.184558,0.273538,0.016572,0.946275,0.532123,0.271311,0.791183
0.766383,0.212803,0.693969,0.992031,0.571069,0.7846,0.829257,0.367099,0.409706,0.40866,0.384768,0.934146,0.952267,0.994062,0.969992,0.461174,0.072192,0.530948,0.700857,0.016833,0.113926,0.391436,0.174066,0.132402,0.359752,0.642276,0.143391,0.301693,0.021212,0.175849,0.984215,0.020742,0.154519,0.183334
0.949299,0.45343,0.693612,0.989844,0.168776,0.994322,0.49056,0.234126,0.405342,0.412648,0.398313,0.927363,0.980248,0.944347,0.991649,0.419263,0.406954,0.562391,0.946717,0.039226,0.250833,0.009702,0.173956,0.402011,0.391459,0.689372,0.11807,0.243831,0.898658,0.178033,0.475911,0.96577,0.050212,0.340805
