f1,f2,f3,f4,f5,f6,f7,f8
9.75E-231,0.193107559,-0.020414498,-0.875780649,1486.852851,-0.735463743,0.640750882,9.873499999
-1.33E-116,0.558253903,0.009111347,-30.10626784,1473.514871,-0.901983234,1.761805381,9.868124809
2.25E-104,0.109834438,-0.039534211,-36.30705304,2313.93624,-1.129261819,1.887275307,9.613268829
-1.82E-135,0.123392365,-0.048808312,-0.882465927,2430.63335,-0.369531732,0.995704564,9.851895429
-1.31E-110,0.550183049,-0.019543375,-2.548784362,3478.890371,-0.341393613,1.544791905,9.827857184
0.00E+00,-0.002112129,-0.424709995,-34.58872994,48.85350511,-2.812881795,0.000232066,9.911679066
0.00E+00,0.092133584,-0.303443225,0.241042698,4377.670309,-0.428274573,0.447104275,9.725657501
-8.96E-178,-0.105493749,-0.078718308,-0.446608819,4709.420284,-0.126634308,0.077789863,9.118900242
-1.71E-100,-0.029709918,-0.059597052,0.093655487,5447.052097,-0.438049589,2.10128669,9.918159824
-1.26E-85,0.476781019,-0.103687651,-1.411011297,4145.981744,-1.451434211,1.786097755,9.893552038
-1.88E-114,0.586148779,-0.046158477,0.50654853,6182.74681,-0.686421752,1.677641918,9.668897106
2.30E-93,0.573567386,-0.044434309,-2.311453295,6099.561797,-0.3826213,2.075641056,7.896201854
